id,source_date_accessed,source_id,author,year,gender,genre,title,format,catalogue_numbers
1027,20100817,1813A011,Elizabeth Ogilvy BENGER,1813,Female,,"THE HEART AND THE FANCY, OR VALSINORE. A TALE. BY MISS BENGER. IN TWO VOLUMES",2 vols (I 243p; II 312p). 12&deg;,Corvey; CME 3-628-47236-9; ECB 50; EN2 1813: 11; NSTC B1551; OCLC 13274301
1030,20100817,1813A014,Eliza A. COXE,1813,Female,,"LIBERALITY AND PREJUDICE, A TALE; BY ELIZA A. COXE. IN THREE VOLUMES",3 vols (I 312p; II 292p; III 379p). 12&deg;,BL 1153.i.13; ECB 141; EN2 1813: 14; NSTC C3996; xOCLC
1031,20100817,1813A015,Catherine CUTHBERTSON,1813,Female,?|romance,"ADELAIDE: OR, THE COUNTERCHARM. A NOVEL. IN FIVE VOLUMES. BY THE AUTHOR OF ""SANTO SEBASTIANO; OR, THE YOUNG PROTECTOR:"" ""ROMANCE OF THE PYRENEES:"" AND ""THE FOREST OF MONTALBANO.""",5 vols (I 429p; II 419p; III 432p; IV 436p; V 424p). 12&deg;,Corvey; CME 3-628-47015-3; ECB 5; EN2 1813: 15; NSTC C4642; OCLC 6715787
1033,20100817,1813A017,Selina DAVENPORT,1813,Female,,"THE SONS OF THE VISCOUNT, AND THE DAUGHTERS OF THE EARL, A NOVEL. DEPICTING RECENT SCENES IN FASHIONABLE LIFE. BY A LADY. IN FOUR VOLUMES",4 vols (I 220p; II 235p; III 222p; IV 250p). 12&deg;,Corvey; CME 3-628-48711-0; ECB 550; EN2 1813: 17; NSTC D391; OCLC 44668780
1036,20100817,1813A020,Sarah GREEN,1813,Female,,"DECEPTION. A FASHIONABLE NOVEL, IN THREE VOLUMES, FOUNDED ON FACTS. BY MRS. GREEN. AUTHORESS OF THE PRIVATE HISTORY OF THE COURT OF ENGLAND&#8212;GOOD MEN OF MODERN DATE, &C. &C. &C",3 vols (I 216p; II 204p; III 216p). 12&deg;,ViU PZ2.G74D.1813; EN2 1813: 20; xNSTC; OCLC 6774302
1037,20100817,1813A021,Ann Mary HAMILTON,1813,Female,,"THE MAIDEN WIFE: OR, THE HEIRESS OF DE COURCEY. A MOST INTERESTING TALE. IN FOUR VOLUMES. BY MISS M. HAMILTON, AUTHORESS OF THE FOREST OF ST. BERNARDO, &C. &C",4 vols (I 215p; II 216p; III 214p; IV 185p). 12&deg;,Corvey; CME 3-628-47587-2; ECB 252; EN2 1813: 21; NSTC H301; xOCLC
1038,20100817,1813A022,Emma HAMILTON,1813,Female,,"""I CAN'T AFFORD IT."" AND OTHER TALES, BY MRS. HAMILTON. IN TWO VOLUMES",2 vols (I 240p; II 191p). 12&deg;,Corvey; CME 3-628-51030-9; ECB 252; EN2 1813: 22; NSTC H331; xOCLC
1039,20100817,1813A023,Mary HILL,1813,Female,,"ANSELMO; OR, THE DAY OF TRIAL. A ROMANCE. IN FOUR VOLUMES. BY MARY HILL, AUTHOR OF THE FOREST OF COMALVA, &C",4 vols (I 252p; II 231p; III 211p; IV 236p). 12&deg;,Corvey; CME 3-628-47711-5; ECB 268; EN2 1813: 23; NSTC H1687; xOCLC
1042,20100817,1813A026,"Barbara HOFLAND [formerly HOOLE, Barbara]",1813,Female,?,"THE DAUGHTER-IN-LAW, HER FATHER, AND FAMILY. IN TWO VOLUMES. BY THE AUTHOR OF THE OFFICER'S WIDOW AND FAMILY; THE CLERGYMAN'S WIDOW AND FAMILY; LITTLE DRAMAS, &C","2 vols (I 232p, ill.; II 240p, ill.). 12&deg;",Corvey; CME 3-628-47424-8; EN2 1813: 26; xNSTC; xOCLC
1043,20100817,1813A027,"Barbara HOFLAND [formerly HOOLE, Barbara]",1813,Female,?,"IWANOWNA; OR, THE MAID OF MOSCOW. A NOVEL. IN TWO VOLUMES. BY THE AUTHOR OF THE CLERGYMAN'S WIDOW, OFFICER'S WIDOW, SON OF A GENIUS, SISTERS, &C",2 vols (I 265p; II 279p). 12&deg;,BL 12613.f.18; ECB 303; EN2 1813: 27; NSTC H2421; OCLC 22331074
1044,20100817,1813A028,"Barbara HOFLAND [formerly HOOLE, Barbara]",1813,Female,?,"PATIENCE AND PERSEVERANCE; OR, THE MODERN GRISELDA. A DOMESTIC TALE. IN FOUR VOLUMES. BY THE AUTHOR OF SAYS SHE TO HER NEIGHBOUR, WHAT? &C","4 vols (I iii, 283p; II 282p; III 262p; IV 223p). 12&deg;",Corvey; CME 3-628-48404-9; EN2 1813: 28; NSTC H2424; xOCLC
1045,20100817,1813A029,"Barbara HOFLAND [formerly HOOLE, Barbara]",1813,Female,?,"THE SISTERS; A DOMESTIC TALE, BY THE AUTHOR OF THE OFFICER'S WIDOW AND FAMILY; CLERGYMAN'S WIDOW AND FAMILY; LITTLE DRAMAS, &C. &C",1 vol.  (249p). 12&deg;,Dt OLS.B-3-906; ECB 540; EN2 1813: 29; NSTC H2428; OCLC 43481031
1047,20100817,1813A031,Frances HOLCROFT,1813,Female,,"THE WIFE AND THE LOVER. A NOVEL, BY MISS HOLCROFT. IN THREE VOLUMES",3 vols (I (1813) 204p; II (1814) 238p; III (1814) 294p). 12&deg;,Corvey; CME 3-628-47731-X; ECB 276; EN2 1813: 31; xNSTC; OCLC 6818736
1050,20100817,1813A034,Mary HOUGHTON,1813,Female,,"THE BORDER CHIEFTAINS; OR, LOVE AND CHIVALRY. A NOVEL. IN THREE VOLUMES. BY MISS HOUGHTON, AUTHOR OF ""THE MYSTERIES OF THE FOREST.""","3 vols (I vi, 258p; II 273p; III 312p). 12&deg;",Corvey; CME 3-628-47806-5; ECB 284; EN2 1813: 34; xNSTC; OCLC 3864126
1051,20100817,1813A035,Mrs ?Harriet HUGHES,1813,Female,,SHE THINKS FOR HERSELF. IN THREE VOLUMES,3 vols (I 263p; II 261p; III 345p). 12&deg;,Corvey; CME 3-628-48650-5; ECB 532; EN2 1813: 6; NSTC S1607; xOCLC
1052,20100817,1813A036,Catherine HUTTON [also Catharine],1813,Female,,THE MISER MARRIED. A NOVEL. IN THREE VOLUMES. BY CATHERINE HUTTON,"3 vols (I xii, 288p; II 283p; III 268p). 12&deg;",Corvey; CME 3-628-47864-2; ECB 291; EN2 1813: 35; NSTC H3424; OCLC 6821040
