id,source,source_id,author,year,gender,genre,title,format,catalogue_numbers
2169,20100817,1828A063,Anna Maria PORTER,1828,Female,?|potgoth,COMING OUT; AND THE FIELD OF THE FORTY FOOTSTEPS. BY JANE AND ANNA MARIA PORTER. IN THREE VOLUMES,"3 vols (I ix, 508p; II 575p; III 680p). 12&deg;",Corvey; CME 3-628-48357-3; ECB 464; EN2 1828: 64; NSTC 2P22243; OCLC 5715840
2171,20100817,1828A065,Sophia REEVE,1828,Female,?|potgoth,CUTHBERT. A NOVEL. IN THREE VOLUMES,3 vols (I 264p; II 254p; III 286p). 12&deg;,Corvey; CME 3-628-47365-9; ECB 149; EN2 1828: 66; NSTC 2R5344; xOCLC
2246,20100817,1829A057,Jane C. LOUDON,1829,Female,?|potgoth,STORIES OF A BRIDE; BY THE AUTHOR OF THE MUMMY. IN THREE VOLUMES,3 vols (I 307p; II 323p; III 296p). 12&deg;,Corvey; CME 3-628-48625-4; ECB 564; EN2 1829: 56; NSTC 2S42434; OCLC 13137826
2795,20110421,1835:103,"[SULLIVAN, Arabella Jane]; DACRE, Lady [Barbarina] (editor)",1835,Female,?|potgoth,TALES OF THE PEERAGE AND PEASANTRY. EDITED BY LADY DACRE. IN THREE VOLUMES.,,
2834,20110421,1836:030,"[GORE, Catherine Grace Frances]",1836,Female,?|potgoth,"MRS. ARMYTAGE; OR, FEMALE DOMINATION. BY THE AUTHORESS OF ""MOTHERS AND DAUGHTERS.â€ù  IN THREE VOLUMES.",,
587,20100817,1807A068,Sarah Scudgell WILKINSON,1807,Female,?|potgoth|romance,"THE FUGITIVE COUNTESS; OR, CONVENT OF ST. URSULA. A ROMANCE. IN FOUR VOLUMES. BY SARAH WILKINSON","4 vols (I ii, 213p; II 212p; III 233p; IV 184p). 12&deg;",Corvey; CME 3-628-48924-5; ECB 638; EN2 1807: 68; NSTC W1943; OCLC 48850769
687,20100817,1808A099,Helen ST VICTOR,1808,Female,?|potgoth|romance,"THE RUINS OF RIGONDA; OR, THE HOMICIDIAL [sic] FATHER. A ROMANCE, IN THREE VOLUMES. BY HELEN ST. VICTOR",3 vols (I 198p; II 189p; III 170p). 12&deg;,Corvey; CME 3-628-48504-5; ECB 506; EN2 1808: 95; NSTC S232; OCLC 48012978
758,20100817,1809A059,Anna Maria PORTER,1809,Female,?|potgoth|romance,"DON SEBASTIAN; OR, THE HOUSE OF BRAGANZA. AN HISTORICAL ROMANCE. IN FOUR VOLUMES. BY MISS ANNA MARIA PORTER. AUTHOR OF THE HUNGARIAN BROTHERS","4 vols (I xvi, 278p; II 314p; III 303p; IV 320p). 12&deg;",Corvey; CME 3-628-48516-9; ECB 463; EN2 1809: 60; NSTC P2589; OCLC 14032243
760,20100817,1809A061,Mary Anne RADCLIFFE,1809,Female,?|potgoth|romance,"MANFRON&#201;; OR, THE ONE-HANDED MONK. A ROMANCE, IN FOUR VOLUMES. BY MARY ANNE RADCLIFFE",4 vols (I 224p; II 228p; III 230p; IV 222p). 12&deg;,ViU PZ2.R335M.1809; EN2 1809: 61; xNSTC; OCLC 7010453
766,20100817,1809A067,Catherine SMITH,1809,Female,?|potgoth|romance,"THE CASTLE OF ARRAGON; OR THE BANDITTI OF THE FOREST. A ROMANCE, IN FOUR VOLUMES. BY MISS SMITH",4 vols (I (1809) 236p; II (1810) 264p; III (1810) 195p; IV (1810) 167p). 12&deg;,Corvey; CME 3-628-48760-9; EN2 1809: 67; xNSTC; OCLC 7087872
835,20100817,1810A057,Mary HOUGHTON,1810,Female,?|potgoth|romance,THE MYSTERIES OF THE FOREST: A NOVEL. BY MISS MARY HOUGHTON,3 vols. 12&deg;,No copy of 1st edn located; ECB 284; EN2 1810: 56; xNSTC; xOCLC
868,20100817,1810A090,Sarah Scudgell WILKINSON,1810,Female,?|potgoth|romance,"CONVENT OF GREY PENITENTS; OR, THE APOSTATE NUN. A ROMANCE, IN TWO VOLUMES. BY MISS WILKINSON",2 vols (I 198p; II 191p). 12&deg;,Corvey; CME 3-628-48923-7; ECB 638; EN2 1810: 88; NSTC W1942; xOCLC
909,20100817,1811A040,Laetitia-Matilda HAWKINS,1811,Female,?|potgoth|romance,"THE COUNTESS AND GERTRUDE; OR, MODES OF DISCIPLINE. BY LAETITIA-MATILDA HAWKINS. IN FOUR VOLUMES","4 vols (I xxxi, 383p; II 415p; III 408p; IV 425p). 8&deg;",BL 12643.ppp.32; ECB 259; EN2 1811: 40; NSTC H990; OCLC 12620373
943,20100817,1811A074,Catherine SMITH,1811,Female,?|potgoth|romance,"THE CALEDONIAN BANDIT; OR, THE HEIR OF DUNCAETHAL. A ROMANCE OF THE THIRTEENTH CENTURY. IN TWO VOLUMES. BY MRS. SMITH, OF THE THEATRE-ROYAL, HAYMARKET","2 vols (I ii, 242p; II 233p). 12&deg;",Corvey; CME 3-628-48759-5; ECB 544; EN2 1811: 74; xNSTC; OCLC 7087836
1002,20100817,1812A053,Mary Anne RADCLIFFE,1812,Female,?|potgoth|romance,"IDA OF AUSTRIA; OR THE KNIGHTS OF THE HOLY CROSS. A ROMANCE, IN THREE VOLUMES, BY THE AUTHOR OF ""MANFRONE.""",3 vols (I 204p; II 205p; III 212p). 12&deg;,Corvey; CME 3-628-47867-7; EN2 1812: 53; xNSTC; xOCLC
1069,20100817,1813A053,Mrs ROSS,1813,Female,?|potgoth|romance,"THE MARCHIONESS!!! OR, ""THE MATURED ENCHANTRESS."" IN THREE VOLUMES. BY LADY &#8211;&#8211;",3 vols (I 197p; II 224p; III 214p). 12&deg;,Corvey; CME 3-628-48083-3; ECB 367; EN2 1813: 52; NSTC R1705; OCLC 7027666
1111,20100817,1814A031,Laetitia-Matilda HAWKINS,1814,Female,?|potgoth|romance,"ROSANNE; OR, A FATHER'S LABOUR LOST. IN THREE VOLUMES. BY LAETITIA-MATILDA HAWKINS","3 vols (I xii, 352p; II 366p; III 370p). 8&deg;",Corvey; CME 3-628-47542-2; ECB 259; EN2 1814: 29; NSTC H991; OCLC 2174684
1143,20100817,1814A063,Anna Maria WESTON,1814,Female,?|potgoth|romance,"PLEASURE AND PAIN, OR THE FATE OF ELLEN; A NOVEL. IN THREE VOLUMES. BY ANNA MARIA WESTON",3 vols (I 236p; II 236p; III 244p). 12&deg;,BL 12604.h.12; ECB 631; EN2 1814: 61; NSTC W1416; xOCLC
1188,20100817,1815A045,Catherine SMITH,1815,Female,?|potgoth|romance,"BAROZZI; OR THE VENETIAN SORCERESS. A ROMANCE OF THE SIXTEENTH CENTURY. IN TWO VOLUMES. BY MRS. SMITH, AUTHOR OF THE CALEDONIAN BANDIT, &C. &C",2 vols (I 229p; II 241p). 12&deg;,Corvey; CME 3-628-48758-7; ECB 544; EN2 1815: 47; NSTC S2362; OCLC 7089622
1303,20100817,1817A048,Anna Maria PORTER,1817,Female,?|potgoth|romance,"THE KNIGHT OF ST. JOHN, A ROMANCE, BY MISS ANNA MARIA PORTER, AUTHOR OF ""THE RECLUSE OF NORWAY,"" &C. &C. &C. IN THREE VOLUMES",3 vols (I 333p; II 302p; III 354p). 12&deg;,Corvey; CME 3-628-48301-8; ECB 463; EN2 1817: 48; NSTC 2P22253; OCLC 1336923
